
Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

2020
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -307 -328 -345 -318   29   54    9  -35 -113 -198 -242 -264
 12 -291 -339 -346 -362 -178   23   17  -81 -132 -139 -226 -237
 15 -301 -323 -328 -289 -166  -82  -93  -68  -11   16  -81 -169
 20 -262 -220 -158  -74  -36   -3   11   43   87  108   60   22
 25  -79  -36   -2  -12   15   46   55   89  110  110  117   90
 30   37   21    0  -28  -17   57   88  104  120  135  144  104
 35   23  -25  -94 -155 -158  -26   49  107  127  127  140  108
 40  -63 -120 -181 -122 -263 -177  -24   87  120  128  129  108
 45  -46  -72 -139 -199 -237 -262 -113   31   91  116  111  111
 50   22  -17  -53 -158 -189 -226 -169  -21   63  123  106  108
 60   66   29   50   -5  -75 -142 -149 -141  -21   94  100   75
 70   41   23   51   17  -55  -93 -155 -144  -83   40   74   49
 80    1    9   10   -6  -63  -86 -156 -115  -90   -9   -1   36
 90  -50  -33  -37   -6  -81 -100 -141 -141 -148 -126  -67    1
100  -70  -70  -54   10 -104 -103 -131 -143 -186 -260 -127 -120
