
Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

2021
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -303 -298 -306 -312 -338 -244  -30  -51  -34   -5  111
 12 -263 -260 -291 -292 -322 -351 -208 -158 -181  -79    0
 15 -155 -170 -219 -278 -300 -318 -355 -316 -362 -327 -222
 20   11    9  -23 -179 -261 -286 -316 -330 -359 -368 -351
 25   71   81   76  -40 -167 -258 -297 -319 -332 -339 -320
 30   72   65   79   64  -37 -167 -238 -233 -268 -283 -279
 35   47   69   85  105   55   -6  -94  -84 -132 -188 -227
 40   47   73   93  119   87   69   38   15   -9  -44 -130
 45   41   71   91  122  107  101   81   77   56   47  -31
 50   53   82   82  128  127  115   99   99   97  103   39
 60   35   54   74   86   94   96   84   99   90  104   65
 70   24   34   38   65   49   70   61   73   66  111   62
 80   19  -19   -4   -4  -10   22   52   46   44   84   34
 90  -16  -48  -22  -40  -52   -4   16  -31   29   42    9
100 -171  -80  -25  -75  -73  -54  -60  -91  -40  -47 -118
